,Team (IOC code)
0,ASA
1,AND
2,ANG
3,ANT
4,ARU
5,BAN
6,BIZ
7,BEN
8,BHU
9,BOL
10,BIH
11,IVB
12,BRU
13,CAM
14,CAY
15,CAF
16,CHA
17,COM
18,CGO
19,COD
20,COK
21,ESA
22,SWZ
23,GEQ
24,GAM
25,GUM
26,GUI
27,GBS
28,HON
29,KIR
30,LAO
31,LES
32,LBR
33,LBA
34,MAD
35,MAW
36,MDV
37,MLI
38,MLT
39,MHL
40,MTN
41,FSM
42,MON
43,MYA
44,NRU
45,NEP
46,NCA
47,OMA
48,PLW
49,PLE
50,PNG
51,RWA
52,SKN
53,VIN
54,STP
55,SEY
56,SLE
57,SOL
58,SOM
59,SSD
60,TLS
61,TUV
62,VAN
63,YEM
64,COR
65,MAL
66,NBO
67,ROC
68,SAA
69,YAR
70,YMD
